,Aspect ratio,Countour area,R average,G average,B average,R 0.25 % quantile,G 0.25 % quantile,B 0.25 % quantile,R 97.5 % quantile,G 97.5 % quantile,B 97.5 % quantile,Class
0,0.6305732484076433,7661.0,227.4138632015306,222.57676977040816,227.21245216836735,46.0,46.0,66.0,244.0,244.0,246.0,2.0
1,0.9375,2878.5,242.46733498086735,241.68889508928572,243.1851881377551,100.0,113.0,102.0,250.0,250.0,251.0,1.0
2,1.3740458015267176,10533.5,225.5383450255102,218.23865991709184,224.69158561862244,55.0,49.0,61.0,250.0,250.0,251.0,2.0
3,0.7333333333333333,2807.5,238.0543287627551,237.88048070790816,238.0458984375,77.0,77.0,76.0,247.0,247.0,247.0,0.0
4,1.5660377358490567,10053.5,223.7956991390306,216.68983179209184,222.9313815369898,55.0,47.0,59.0,247.0,247.0,248.0,2.0
5,0.9318181818181818,2775.5,244.4967115752551,245.08149314413265,244.54880819515307,89.0,84.0,85.0,253.0,253.0,255.0,0.0
6,1.2,4247.0,241.25685586734693,242.22108179209184,241.29296875,66.0,77.0,65.0,254.0,254.0,255.0,1.0
7,1.2804878048780488,3314.5,240.43383290816325,239.7577527104592,240.43610491071428,69.0,64.0,72.0,251.0,251.0,251.0,0.0
8,0.5614035087719298,6723.5,223.0324258609694,219.25593909438774,223.31401466836735,53.0,57.0,77.0,241.0,241.0,241.0,2.0
9,0.8768115942028986,6367.5,217.88231425382654,215.5616230867347,218.32965959821428,49.375,49.0,59.0,236.0,236.0,237.0,2.0
10,1.4019607843137254,6320.5,213.95916374362244,211.9032605229592,213.68748007015307,58.0,49.0,57.0,231.0,231.0,231.0,3.0
11,0.7380952380952381,4797.0,215.20065369897958,212.79051737882654,214.24081234056123,83.0,50.0,70.0,226.0,226.0,226.0,4.0
12,0.6460176991150443,2997.5,243.3453443877551,243.01877391581633,243.75163424744898,97.0,85.0,93.0,251.0,251.0,252.0,0.0
13,0.9634146341463414,2632.0,225.2483458227041,224.27820073341837,225.55311304209184,66.375,68.0,75.0,236.0,236.0,236.0,0.0
14,0.9,2533.5,240.8814772002551,240.1631457270408,241.56692442602042,97.0,108.0,96.0,249.0,249.0,249.0,1.0
15,0.984251968503937,6423.0,209.94431600765307,208.47243702168367,210.20916374362244,41.0,42.0,48.0,229.0,229.0,230.0,2.0
16,0.8175675675675675,9188.5,217.2302694515306,216.8790656887755,217.3214883609694,46.0,47.0,46.0,242.0,242.0,242.0,1.0
17,0.6162790697674418,7932.5,228.00577965561226,224.84333147321428,227.35598692602042,58.0,48.0,55.375,249.0,249.0,249.0,3.0
18,0.8240740740740741,3776.0,236.98929767219389,237.10620615433675,237.28477758290816,79.0,88.0,78.0,247.0,247.0,248.0,1.0
19,0.7793103448275862,6034.5,226.14606584821428,224.791015625,225.6146165497449,61.0,60.0,61.0,243.0,243.0,243.0,1.0
20,0.7319587628865979,3651.5,240.8517219387755,240.04135443239795,240.59329161352042,69.0,62.0,66.0,252.0,252.0,252.0,0.0
21,0.6388888888888888,4120.5,242.53677056760205,244.91597576530611,243.44933832908163,85.0,93.0,84.0,254.0,254.0,255.0,1.0
22,0.9642857142857143,9043.5,221.42271205357142,218.44493383290816,220.9706433354592,64.0,56.0,62.0,243.0,243.0,243.0,3.0
