"transect_id","point_number","species_observed","abundance","habitat_type"
"T1",1,"CARO",5,"Forest"
"T1",2,"PECO",3,"Forest"
"T1",3,"SCAU",8,"Forest"
"T1",4,"MIAM",2,"Forest"
"T1",5,"CARO",4,"Forest"
"T1",6,"PECO",6,"Forest"
"T1",7,"SCAU",7,"Forest"
"T1",8,"MIAM",1,"Forest"
"T1",9,"CARO",3,"Forest"
"T1",10,"PECO",5,"Forest"
"T2",1,"SCAU",4,"Grassland"
"T2",2,"MIAM",6,"Grassland"
"T2",3,"CARO",2,"Grassland"
"T2",4,"PECO",8,"Grassland"
"T2",5,"SCAU",3,"Grassland"
"T2",6,"MIAM",5,"Grassland"
"T2",7,"CARO",7,"Grassland"
"T2",8,"PECO",4,"Grassland"
"T2",9,"SCAU",6,"Grassland"
"T2",10,"MIAM",2,"Grassland"
"T3",1,"CARO",6,"Wetland"
"T3",2,"PECO",4,"Wetland"
"T3",3,"SCAU",5,"Wetland"
"T3",4,"MIAM",3,"Wetland"
"T3",5,"CARO",7,"Wetland"
"T3",6,"PECO",2,"Wetland"
"T3",7,"SCAU",8,"Wetland"
"T3",8,"MIAM",4,"Wetland"
"T3",9,"CARO",5,"Wetland"
"T3",10,"PECO",3,"Wetland"
