"Application","Pattern","Description","Example"
"Basic Matching","exact strings","Match literal text","str_extract(""banana"", ""an"")→ ""an"""
"Basic Matching","ignore_case = TRUE","Case-insensitive matching","str_detect(""BANANA"", regex(""banana"", ignore_case = TRUE))→ TRUE"
"Basic Matching","dotall = TRUE","Allow.to match newlines","str_detect(""a\nb"", regex(""a.b"", dotall = TRUE))→ TRUE"
"Character Classes",".","Any character except newline","str_extract(""cat"", ""c.t"")→ ""cat"""
"Character Classes","\\d","Any digit (0-9)","str_extract_all(""I have 5 cats and 3 dogs"", ""\\d"")→ ""5"", ""3"""
"Character Classes","\\D","Any non-digit","str_extract(""abc123"", ""\\D+"")→ ""abc"""
"Character Classes","\\s","Any whitespace character","str_replace_all(""hello  world"", ""\\s+"", ""_"")→ ""hello_world"""
"Character Classes","\\S","Any non-whitespace character","str_extract(""  hello"", ""\\S+"")→ ""hello"""
"Character Classes","\\w","Word characters (letters, digits, underscore)","str_extract_all(""Don't eat that!"", ""\\w+"")→ ""Don"", ""t"", ""eat"", ""that"""
"Character Classes","\\W","Non-word characters","str_extract_all(""hello, world!"", ""\\W+"")→ "", "", ""!"""
"Anchors","^","Start of string","str_extract(""apple pie"", ""^app"")→ ""app"""
"Anchors","$","End of string","str_extract(""running"", ""ing$"")→ ""ing"""
"Anchors","\\b","Word boundary","str_extract_all(""cats and dogs"", ""\\bs\\w*"")→ ""s"" (from ""dogs"")"
"Anchors","\\B","Non-word boundary","str_extract_all(""cats"", ""\\Bt"")→ ""t"""
"Quantifiers","?","0 or 1 occurrence","str_extract(""color colour"", ""colou?r"")→ ""color"""
"Quantifiers","+","1 or more occurrences","str_extract(""aaabbb"", ""a+"")→ ""aaa"""
"Quantifiers","*","0 or more occurrences","str_extract(""aaabbb"", ""b*a"")→ ""a"""
"Quantifiers","{n}","Exactly n occurrences","str_extract(""Mississippi"", ""s{2}"")→ ""ss"""
"Quantifiers","{n,}","n or more occurrences","str_extract(""Mississippi"", ""s{2,}"")→ ""ss"""
"Quantifiers","{n,m}","Between n and m occurrences","str_extract(""Mississippi"", ""s{1,2}"")→ ""s"""
"Grouping","()","Capturing group","`str_match(""grey"", ""gr(e"
"Grouping","(?:)","Non-capturing group","`str_extract(""catdog"", ""(?:cat"
"Alternation","|","OR operator","`str_detect(c(""apple"", ""banana""), ""apple"
"Lookarounds","(?=...)","Positive lookahead","str_extract(""I have 5 pieces"", ""\\d+(?= pieces?)"")→ ""5"""
"Lookarounds","(?!...)","Negative lookahead","str_extract_all(""running walking"", ""\\w+(?!ing)"")→ ""walk"""
"Lookarounds","(?<=...)","Positive lookbehind","str_extract(""Mr. Smith"", ""(?<=Mr\\. )\\w+"")→ ""Smith"""
"Lookarounds","(?<!...)","Negative lookbehind","str_extract_all(""happy unhappy"", ""(?<!un)happy"")→ ""happy"""
"Escaping","\\.","Literal period","str_extract(""file.txt"", ""\\w+\\.txt"")→ ""file.txt"""
"Escaping","\\n","Newline character","str_split(""line1\nline2"", ""\\n"")→ ""line1"", ""line2"""
"Escaping","\\t","Tab character","str_split(""col1\tcol2"", ""\\t"")→ ""col1"", ""col2"""
"Escaping","\\v","Vertical tab","str_detect(""text\vmore"", ""\\v"")→ TRUE"
"Escaping","\\\\","Literal backslash","str_extract(""C:\\folder"", ""\\\\"")→ ""\"""
